Constituency,Year,TimesNowVMR,IndiatodayAxis,CountDifference,propBJP,BJP
Howraghat,2006,0,,-8,0.181818182,0
Jagiroad(sc),2011,0,8,-5,0,0
Jagiroad(sc),2016,34,,-6,0.142857143,1
Jagiroad(sc),2006,31,-4,9,1,0
Jaleswar,2011,,,-15,1,0
Jaleswar,2016,-8,-11,-5,1,1
Jaleswar,2006,-12,,-3,1,1
Jalukbari,2011,,-12,-4,0.833333333,1
Jalukbari,2016,-2,-10,-8,1,0
Jalukbari,2006,-6,-14,-2,1,0
Jamunamukh,2011,-5,,-4,0.75,0
Jamunamukh,2016,,-7,0,1,1
Jamunamukh,2006,-19,,-13,1,1
Jania,2011,,-18,6,1,1
Jania,2016,,-33,4,1,0
Jania,2006,11,-29,9,1,0
Jonai(st),2011,,8,4,0.090909091,0
Jonai(st),2016,10,2,2,0,1
Jonai(st),2006,9,-2,-1,0.222222222,0
Jorhat,2011,,-5,-2,0,1
Jorhat,2016,,30,1,0,1
Jorhat,2006,-2,24,1,0,0
Kaliabor,2011,-6,,1,0,0
Kaliabor,2016,-5,-3,-5,0,1
Kaliabor,2006,,-19,-5,0.625,1
Kaliagaon,2011,-19,-7,-5,0,1
Kaliagaon,2016,,-1,3,0,1
Kaliagaon,2006,,-9,2,0,1
Kamalpur,2011,11,0,3,0,1
Kamalpur,2016,,-13,5,0,1
Kamalpur,2006,10,,-8,1,1
Karimgan South,2011,9,,-2,0.333333333,1
Karimgan South,2016,5,18,3,0.666666667,0
Karimgan South,2006,2,8,2,1,0
Karimganj North,2011,1,,1,0.5,0
Karimganj North,2016,2,,3,1,0
Karimganj North,2006,9,,5,0.6,0
Katigorah,2011,-9,,1,0.1,0
Katigorah,2016,-10,18,5,0,0
Katigorah,2006,-5,,2,1,0
Katlicherra,2011,-14,,2,1,0
Katlicherra,2016,-8,22,-6,1,0
Katlicherra,2006,-8,,-6,0.1,0
Khumtai,2011,-9,,-6,0,0
Khumtai,2016,-9,,-6,0,0
Khumtai,2006,2,,-1,0.125,0
Kokrajhar East,2011,-6,,-4,0,0
Kokrajhar East,2016,-5,,-2,0,1
Kokrajhar East,2006,-6,,-4,0,1
Laharighat,2011,-5,4,-8,0,1
Laharighat,2016,-5,-4,-2,0,1
Laharighat,2006,7,,-11,1,1
Lahowal,2011,-5,-4,-10,1,1
Lahowal,2016,3,-16,-7,1,1
Lahowal,2006,2,-14,-14,1,1
Lakhimpur,2011,0,,-5,1,1
Lakhimpur,2016,4,,1,1,1
Lakhimpur,2006,3,,4,1,1
Lakhipur,2011,-16,,1,1,1
Lakhipur,2016,-16,-16,8,1,1
Lakhipur,2006,4,,4,1,0
Lumding,2011,2,,8,1,0
Lumding,2016,1,21,3,1,0
Lumding,2006,-8,18,4,1,0
Mahmara,2011,-9,25,5,1,0
Mahmara,2016,-4,,2,1,0
Mahmara,2006,-12,,1,0,0
Majbat,2011,-19,15,2,0,0
Majbat,2016,-13,,9,1,1
Majbat,2006,-2,,-9,0,0
Majuli(st),2011,-1,5,-10,0.333333333,0
Majuli(st),2016,-2,,-5,0,0
Majuli(st),2006,4,,-14,0,0
Mangaldoi(sc),2011,5,-11,-8,0,0
Mangaldoi(sc),2016,1,-24,-8,1,1
Mangaldoi(sc),2006,4,-14,-9,1,0
Mankachar,2011,4,3,-9,1,1
Mankachar,2016,1,,2,0.533333333,1
Mankachar,2006,7,-2,-6,0,1
Margherita,2011,5,,-5,0,1
Margherita,2016,1,-16,-6,1,1
Margherita,2006,2,-13,-5,1,1
Mariani,2011,5,,-5,0.75,0
Mariani,2016,4,-30,7,0,0
Mariani,2006,3,1,-5,0,0
Moran,2011,3,-3,3,1,0
Moran,2016,1,0,2,1,0
Moran,2006,-2,12,0,1,0
Morigaon,2011,-2,7,4,0,0
Morigaon,2016,5,8,3,0,0
Morigaon,2006,-18,,-16,0,1
Naharkatia,2011,-4,,-16,1,0
Naharkatia,2016,-10,,4,0.625,0
Naharkatia,2006,-6,,2,1,0
Nalbari,2011,-8,,1,0.666666667,0
Nalbari,2016,6,,-8,0,0
Nalbari,2006,11,-12,-9,0.4,1
Naoboicha,2011,1,,-4,1,0
Naoboicha,2006,1,,-12,1,1
Naoboicha,2011,-12,19,-19,1,1
Nawgong,2016,-8,0,-13,1,1
Nawgong,2006,1,,-2,1,1
Nawgong,2011,3,-3,-1,1,1
Nazira,2016,0,-15,-2,1,0
Nazira,2006,34,,4,1,0
Nazira,2011,31,23,5,1,1
Palasbari,2016,,21,1,0,1
Palasbari,2006,-8,9,4,0,1
Palasbari,2011,-12,21,4,0,1
Panery,2016,,16,1,0,1
Panery,2006,-2,14,7,0,1
Panery,2011,-6,,5,0,0
Patacharkuchi,2006,-5,,1,0,0
Patacharkuchi,2011,,,2,0,1
Patacharkuchi,2016,-19,-8,5,0,1
Patharkandi,2006,,-15,4,0,1
Patharkandi,2011,,,3,0.133333333,0
Patharkandi,2016,11,-11,3,0.083333333,0
Raha(sc),2006,,,1,0.181818182,0
Raha(sc),2011,10,,-2,0,0
Raha(sc),2016,9,,-2,0.142857143,0
Rangapara,2006,,-17,5,1,0
Rangapara,2011,6,,-18,1,0
Rangapara,2016,12,,-4,1,0
Rangiya,2006,,,-10,1,0
Rangiya,2011,,,-6,0.833333333,1
Rangiya,2016,10,,-8,1,1
Ratabari,2006,,-3,6,1,1
Ratabari,2011,,-11,11,0.75,1
Ratabari,2006,32,,1,1,1
Rupohihat,2011,,,1,1,1
Rupohihat,2016,,,-12,1,1
Rupohihat,2006,-24,5,-8,1,1
Sadiya,2011,6,0,1,1,1
Sadiya,2016,-4,7,3,0.090909091,1
Sadiya,2006,2,,1,0,1
Salmara South,2011,-8,,2,0.222222222,1
Salmara South,2016,-11,,5,0,1
Salmara South,2006,-13,,4,0,1
Samaguri,2011,6,,3,0,1
Samaguri,2016,9,,3,0,0
Samaguri,2006,,8,1,0,0
Sarukhetri,2011,-1,,-2,0.625,1
Sarukhetri,2016,-7,-4,-2,0,0
Sarukhetri,2006,0,,5,0,0
Sarupathar,2011,,-11,-18,0,0
Sarupathar,2016,19,,-4,0,0
Sarupathar,2006,,-12,-10,0,0
Sibsagar,2011,1,-10,-6,1,1
Sibsagar,2016,6,-14,,0.333333333,1
Sibsagar,2006,,,,0.666666667,1
Sidli,2011,14,-7,,1,0
Sidli,2016,14,,,0.5,0
Sidli,2006,4,-18,,1,0
Silchar,2011,0,-33,,0.6,1
Silchar,2016,0,-29,,0.1,1
Silchar,2006,34,8,,0,1
Sipajhar,2011,31,1,,1,1
Sipajhar,2016,,5,,1,1
Sipajhar,2006,-8,,,1,1
Sonai,2011,-12,,,0.1,0
Sonai,2016,,,,0,0
Sonai,2006,-2,2,,0,0
Sonari,2011,-6,-2,,0.125,1
Sonari,2016,-5,-5,,0,0
Sonari,2006,,30,,0,0
Sootea,2011,-19,24,,0,0
Sootea,2016,,,,0,0
Sootea,2006,,-3,,0,0
Sorbhog,2011,11,-19,,1,0
Sorbhog,2016,,-7,,1,0
Sorbhog,2006,10,-1,,1,1
Tamulpur,2011,9,-9,,1,0
Tamulpur,2016,,0,,1,0
Tamulpur,2006,6,-13,,1,1
Teok,2011,12,,,1,1
Teok,2016,,,,1,1
Teok,2006,,18,,1,0
Tezpur,2011,10,8,,0,0
Tezpur,2016,,,,0,0
Tezpur,2006,,,,0,1
Thowra,2011,32,,,0,1
Thowra,2016,,,,0,1
Thowra,2006,,18,,0,0
Tingkhong,2011,-24,,,0.133333333,0
Tingkhong,2016,6,,,0.083333333,0
Tingkhong,2006,-4,22,,0.181818182,1
Tinsukia,2011,2,,,0,0
Tinsukia,2016,-8,,,0.142857143,1
Tinsukia,2006,-11,,,1,1
Titabar,2011,-13,,,1,0
Titabar,2016,6,,,1,0
Titabar,2006,9,,,1,1
Udalguri(st),2011,,,,0.833333333,1
Udalguri(st),2016,-1,4,,1,1
Udalguri(st),2006,-7,-4,,1,1
Udharbond,2011,0,,,0.75,1
Udharbond,2016,,-4,,1,1
Udharbond,2006,19,-16,,,1
